segment,customer_count,total_monetary,avg_monetary,avg_frequency,avg_recency
VIP客户,6474,1774913.54,274.1602625888168,1.1717639789928946,89.89403768921841
新客户,11189,1533255.86,137.03243006524266,1.0,132.76575207793368
流失客户,22328,3144042.13,140.81163247939807,1.021049802938015,446.44589752776784
潜力客户,39241,4219784.03,107.5350788715884,1.0195713666828063,202.00805280191636
高价值客户,14126,2549502.55,180.4829781962339,1.0545094152626362,152.74515078578509
